ID 	 SPEED
------	-------
0 	 40
1 	 46
3 	 38
4 	 70
5 	 55
7 	 45
12 	 36
11 	 29
13 	 30
14 	 52
15 	 51
23 	 50
24 	 59
34 	 60
37 	 42
39 	 34
43 	 47
53 	 43
55 	 40
56 	 43
57 	 60
59 	 53
65 	 102<---exceeded
66 	 61
69 	 92<---exceeded
71 	 92<---exceeded
94 	 46
98 	 53
99 	 79
100 	 62
101 	 60
104 	 65
107 	 137<---exceeded
105 	 79
113 	 50
120 	 45
124 	 61
128 	 57
140 	 52
144 	 56
148 	 47
152 	 54
154 	 59
155 	 61
164 	 68
165 	 68
166 	 68
167 	 68
170 	 58
175 	 60
176 	 64
179 	 40
181 	 123<---exceeded
180 	 123<---exceeded
185 	 33
186 	 38
191 	 39
192 	 51
193 	 69
194 	 68
198 	 38
199 	 51
